# pythia: 8310
# beam_energy: 13600.0
# ptcut: 10000
# seed: 719
# mode: soft
# beam_mode: collider
# total_xsec_mb: 102.2611650843 
# tau_xsec_mb: 0.2129286034   
# event_number particle_count pid E px py pz mother_pid E_mother px_mother py_mother pz_mother weights
1.0000000000e+00 1 15 1.5946395792e+01 -1.0020553751e-02 5.1735929100e-01 -1.5838645409e+01 -411 1.6112441100e+01 -6.4477448793e-02 5.3480523375e-01 -1.5994533606e+01 1.2000000000e-03
1.0000000000e+00 2 15 4.6985117698e+01 2.3485489564e+00 -3.4242199520e+00 4.6767544636e+01 -411 4.7448011098e+01 2.4091739375e+00 -3.4974812816e+00 4.7220565264e+01 1.2000000000e-03
1.0000000000e+00 3 15 5.2960074752e+00 6.0119752295e-01 -5.4945073422e-01 4.9221206095e+00 -411 5.6300894464e+00 6.8153671091e-01 -5.0116029895e-01 5.2427830679e+00 1.2000000000e-03
1.0000000000e+00 4 -15 6.8989014305e+00 4.8522660657e-01 -1.2252827088e+00 6.5345993802e+00 411 7.0811580043e+00 5.6880188723e-01 -1.2911419778e+00 6.6825696063e+00 1.2000000000e-03
1.0000000000e+00 5 -15 1.7868428063e+01 -1.0847520558e+00 -2.6939227379e-01 1.7744699854e+01 411 1.8961539658e+01 -1.1462032658e+00 -1.9178554665e-01 1.8833320037e+01 1.2000000000e-03
1.0000000000e+00 6 15 2.3996806334e+00 -2.9529555296e-01 1.4453888030e+00 6.5194292263e-01 -411 2.5127459955e+00 -2.5000108347e-01 1.4815030194e+00 7.4904055662e-01 1.2000000000e-03
1.0000000000e+00 7 15 6.6985874985e+01 -1.9970938775e+00 4.4564322160e-01 6.6931034479e+01 -411 6.7690243334e+01 -1.9619840244e+00 4.4253407000e-01 6.7634520372e+01 1.2000000000e-03
1.0000000000e+00 8 -15 1.8052023716e+02 1.0664867205e+00 -8.2492217395e-02 1.8050832318e+02 411 1.9797667660e+02 1.1586950547e+00 -3.4967142232e-02 1.9796445439e+02 1.2000000000e-03
1.0000000000e+00 9 15 6.2125697044e+01 3.8055966462e-01 3.1127648247e+00 6.2021052985e+01 -411 6.7519801934e+01 4.1630780109e-01 3.4576581678e+00 6.7404001826e+01 1.2000000000e-03
1.0000000000e+00 10 -15 3.9875499266e+01 -5.0256054302e-01 1.0106274993e-01 3.9832594337e+01 411 4.2675845079e+01 -5.0448885331e-01 2.4036467045e-02 4.2631879944e+01 1.2000000000e-03
1.0000000000e+00 11 15 8.9898786450e+00 -5.6782179571e-01 1.7097042248e+00 -8.6264313949e+00 -431 9.1360331940e+00 -6.6145432716e-01 1.6849207489e+00 -8.7358840357e+00 5.3600000000e-02
1.0000000000e+00 12 -15 4.4538661396e+01 5.1646467767e-02 7.1975499017e-01 -4.4497354472e+01 411 4.7020921909e+01 -2.0711579198e-02 7.0163566952e-01 -4.6978493980e+01 1.2000000000e-03
1.0000000000e+00 13 15 6.0154998162e+01 1.9309448978e-01 8.3846482781e-01 -6.0122594803e+01 -431 6.1316554843e+01 2.8297244974e-01 9.2693033897e-01 -6.1277285120e+01 5.3600000000e-02
1.0000000000e+00 14 -15 1.2010192428e+01 4.2951969308e+00 -9.0578992238e-01 1.1037140064e+01 411 1.2149135455e+01 4.2997515680e+00 -8.7910506104e-01 1.1173420430e+01 1.2000000000e-03
1.0000000000e+00 15 15 2.6700905673e+00 1.3292150551e-01 3.4292914637e-01 1.9588327645e+00 -411 2.7704579244e+00 1.4515328926e-01 4.3686741294e-01 1.9919928595e+00 1.2000000000e-03
1.0000000000e+00 16 15 3.0875204841e+00 -2.0332363866e+00 8.2624246106e-01 -1.2485858477e+00 -411 3.3494683892e+00 -2.1997009365e+00 9.1936827612e-01 -1.4281237022e+00 1.2000000000e-03
1.0000000000e+00 17 -15 2.2454438363e+01 -2.1848772703e+00 -3.3908997487e-01 -2.2274560427e+01 411 2.4556412887e+01 -2.4505130706e+00 -3.8747346180e-01 -2.4359121186e+01 1.2000000000e-03
1.0000000000e+00 18 -15 1.2470185457e+02 -5.8811355850e-01 -3.3354650941e-01 -1.2468736228e+02 431 1.5173700968e+02 -7.0808770340e-01 -3.2113157107e-01 -1.5172224833e+02 5.3600000000e-02
1.0000000000e+00 19 15 7.7135070701e+01 -2.0058567566e+00 1.5354006619e+00 -7.7073219254e+01 -411 8.0595962231e+01 -2.1896648369e+00 1.5998577376e+00 -8.0528625172e+01 1.2000000000e-03
1.0000000000e+00 20 15 7.9053518931e+00 5.2072690948e-02 5.6390112570e-01 -7.6822394650e+00 -411 8.5061715642e+00 1.2718572386e-01 6.5567226175e-01 -8.2712389285e+00 1.2000000000e-03
1.0000000000e+00 21 -15 2.3662085175e+00 -1.6040547219e-01 -1.2959415250e-01 -1.5489767190e+00 411 2.4251809070e+00 -2.1386978854e-01 -1.2376113253e-01 -1.5247840447e+00 1.2000000000e-03
1.0000000000e+00 22 -15 1.7813313967e+01 2.0460846313e+00 4.3922811486e+00 1.7049295269e+01 411 1.8935355457e+01 2.0997629580e+00 4.6182890734e+00 1.8147027550e+01 1.2000000000e-03
1.0000000000e+00 23 15 6.1911949030e+02 -3.7747781369e+00 2.1610560765e-01 6.1910539533e+02 -431 7.0176298097e+02 -4.4623437316e+00 3.2129408019e-01 7.0174595886e+02 5.3600000000e-02
1.0000000000e+00 24 15 1.0820167786e+01 -1.6459444731e+00 2.5114659746e+00 -1.0242184682e+01 -411 1.1279985683e+01 -1.6421019725e+00 2.5654905982e+00 -1.0698801669e+01 1.2000000000e-03
1.0000000000e+00 25 -15 2.3290695331e+02 -2.5547379201e+00 8.5438798824e-01 2.3288459620e+02 431 2.7206706433e+02 -2.8140896928e+00 1.0478138957e+00 2.7204337067e+02 5.3600000000e-02
1.0000000000e+00 26 15 7.2306121423e+01 8.6157581681e-01 -2.5613638558e-01 7.2278698018e+01 -411 7.9927966923e+01 9.7230073056e-01 -2.9691949217e-01 7.9899630085e+01 1.2000000000e-03
1.0000000000e+00 27 -15 2.9861782639e+02 3.8754770745e-01 6.2029213210e+00 2.9854785667e+02 411 3.1207458754e+02 3.3940235220e-01 6.5497612961e+00 3.1200006113e+02 1.2000000000e-03
1.0000000000e+00 28 15 1.2671022610e+02 3.2594993745e+00 1.3314883040e+00 1.2664883383e+02 -431 1.2783822492e+02 3.3241541102e+00 1.2736100262e+00 1.2777348988e+02 5.3600000000e-02
1.0000000000e+00 29 -15 1.9837852009e+00 4.7291450407e-01 -5.5405225374e-01 -4.9768703294e-01 411 2.0991815093e+00 5.8292096676e-01 -5.3950379058e-01 -5.2936081357e-01 1.2000000000e-03
1.0000000000e+00 30 -15 9.9198641782e+02 -1.2330564588e+00 1.3589511679e-01 -9.9198405085e+02 411 1.0570830277e+03 -1.2403644397e+00 8.8311833808e-02 -1.0570806429e+03 1.2000000000e-03
1.0000000000e+00 31 15 1.4962542160e+01 3.5792966663e+00 -8.8669987737e+00 -1.1370380236e+01 -431 1.7484388332e+01 4.1436453491e+00 -1.0509839685e+01 -1.3198573994e+01 5.3600000000e-02
1.0000000000e+00 32 -15 5.7947925063e+01 -3.6679988523e-01 1.2101044239e+00 5.7906873815e+01 411 6.1659673544e+01 -2.9862843735e-01 1.3054678492e+00 6.1616770748e+01 1.2000000000e-03
1.0000000000e+00 33 15 3.5230355718e+00 -1.0872488706e-01 2.2556530805e+00 -2.0383567910e+00 -411 3.6036438142e+00 -1.7041113668e-01 2.2566888362e+00 -2.0902357131e+00 1.2000000000e-03
1.0000000000e+00 34 15 6.9252020399e+00 -2.2076743121e+00 -2.6376594679e+00 5.7419735844e+00 -431 8.3590956063e+00 -2.6145848303e+00 -3.2846828280e+00 6.9551658038e+00 5.3600000000e-02
1.0000000000e+00 35 -15 6.1664339285e+01 1.8185847332e+00 2.1198159056e+00 6.1575423508e+01 431 6.9118680118e+01 1.9335050014e+00 2.5482033235e+00 6.9016557481e+01 5.3600000000e-02
1.0000000000e+00 36 -15 3.6930350854e+01 3.3362609297e-01 -6.1038141430e-01 3.6881022939e+01 411 4.0092311778e+01 3.1001397233e-01 -7.1833194075e-01 4.0041052376e+01 1.2000000000e-03
1.0000000000e+00 37 15 2.1941068165e+00 2.4817876843e-01 4.2138372165e-01 -1.1907386228e+00 -411 2.3540263111e+00 2.1273398795e-01 5.0911455396e-01 -1.3196619076e+00 1.2000000000e-03
1.0000000000e+00 38 15 5.7533534435e+01 -7.5997486981e-01 -4.0606124341e-01 -5.7499635196e+01 -411 5.8836254033e+01 -8.1655474938e-01 -3.4824620699e-01 -5.8799840753e+01 1.2000000000e-03
1.0000000000e+00 39 -15 3.4863947023e+02 1.1427355934e+00 -1.3871436306e+00 3.4863031008e+02 411 3.6012306819e+02 1.1774784248e+00 -1.3450139157e+00 3.6011377820e+02 1.2000000000e-03
1.0000000000e+00 40 -15 8.6938677543e+00 -2.3484022549e-01 -8.4422207714e-01 8.4651276641e+00 521 2.5398602226e+01 3.2668229198e+00 -3.2455513474e+00 2.4413372952e+01 1.0000000000e+00
1.0000000000e+00 41 15 2.9272073251e+00 1.8378726371e-01 -2.2385797533e+00 -6.0533985605e-01 -431 3.1674805260e+00 1.3719237253e-01 -2.4324899596e+00 -4.7132881508e-01 5.3600000000e-02
1.0000000000e+00 42 -15 3.1147431040e+00 -3.5330825761e-01 -7.2330711135e-01 -2.4282782768e+00 431 3.6959433557e+00 -3.1687649855e-01 -8.4036246019e-01 -2.9964019471e+00 5.3600000000e-02
1.0000000000e+00 43 -15 2.9631901836e+00 -1.3510022187e+00 7.6545098091e-01 -1.7922847299e+00 431 3.2126541593e+00 -1.5410916551e+00 9.2700057031e-01 -1.7921775360e+00 5.3600000000e-02
1.0000000000e+00 44 15 6.0699397708e+00 1.0111772895e+00 -4.9435688999e+00 -2.8680527418e+00 -411 6.5213111121e+00 1.1718601092e+00 -5.3178523118e+00 -3.0625496487e+00 1.2000000000e-03
1.0000000000e+00 45 -15 1.4182132301e+01 -9.6153113308e-01 1.0201625702e+00 1.4000375477e+01 431 1.6023778209e+01 -9.0107281631e-01 1.0807234729e+00 1.5840032189e+01 5.3600000000e-02
1.0000000000e+00 46 15 2.0897371051e+00 1.1691767277e-01 -7.3426225579e-01 8.1061769874e-01 -411 2.1693704544e+00 7.3727425288e-02 -6.8609242598e-01 8.5704764954e-01 1.2000000000e-03
1.0000000000e+00 47 15 9.8021243781e+02 -4.2056691153e-01 2.1872048465e-01 9.8021071277e+02 -411 1.0010413131e+03 -3.8792020262e-01 2.8689631431e-01 1.0010394509e+03 1.2000000000e-03
1.0000000000e+00 48 15 2.8608664182e+00 1.0874740346e+00 4.0395440437e-01 1.9187726321e+00 -411 2.9992225669e+00 1.1135243466e+00 3.3597681963e-01 2.0364282869e+00 1.2000000000e-03
1.0000000000e+00 49 -15 8.7275668122e+01 -6.3248509086e+00 4.7607855966e+00 8.6897734944e+01 431 8.9525721960e+01 -6.5499215575e+00 4.9947581586e+00 8.9124243941e+01 5.3600000000e-02
1.0000000000e+00 50 -15 2.6564491427e+00 -3.3169333691e-01 4.1055097576e-01 -1.9029083430e+00 411 2.7879306767e+00 -4.3404401465e-01 3.9284845584e-01 -1.9835207076e+00 1.2000000000e-03
1.0000000000e+00 51 -15 2.9688649763e+00 2.3147329134e+00 -5.2058509384e-01 -1.6754890236e-01 411 3.0643250198e+00 2.3568068761e+00 -5.7436991233e-01 -1.0084361865e-01 1.2000000000e-03
1.0000000000e+00 52 15 4.7486866905e+00 2.0850719089e+00 1.2885738412e+00 3.6585500628e+00 -431 5.4666998669e+00 2.5046025612e+00 1.3262679396e+00 4.2400275845e+00 5.3600000000e-02
1.0000000000e+00 53 -15 6.6292389302e+00 -2.6363555099e+00 4.6286284239e+00 -3.5235135901e+00 411 6.9417340728e+00 -2.8396739358e+00 4.8359929819e+00 -3.6389032429e+00 1.2000000000e-03
1.0000000000e+00 54 15 4.4354967368e+01 -2.0460487025e+00 -5.1311654476e+00 4.3973752020e+01 -431 5.3419361225e+01 -2.5833057779e+00 -6.2054191301e+00 5.2958214712e+01 5.3600000000e-02
1.0000000000e+00 55 -15 5.2126784518e+02 1.5789803625e+00 -2.6035822515e+00 5.2125592323e+02 431 5.2705528696e+02 1.6298209305e+00 -2.7129263998e+00 5.2704210863e+02 5.3600000000e-02
1.0000000000e+00 56 15 6.2896926203e+00 -2.5472003027e-01 -2.8129603245e-01 6.0215557952e+00 -431 6.6704173990e+00 -3.8011523568e-01 -1.6007954159e-01 6.3599844610e+00 5.3600000000e-02
