# pythia: 8310
# beam_energy: 13600.0
# ptcut: 10000
# seed: 1237
# mode: soft
# beam_mode: collider
# total_xsec_mb: 102.3261044868 
# tau_xsec_mb: 0.2415711747   
# event_number particle_count pid E px py pz mother_pid E_mother px_mother py_mother pz_mother weights
1.0000000000e+00 1 15 1.3727023860e+01 -1.2687922706e+00 3.6619661866e-01 -1.3547330399e+01 -411 1.3760825185e+01 -1.2941829903e+00 3.5565922924e-01 -1.3566997742e+01 1.2000000000e-03
1.0000000000e+00 2 -15 6.7476107091e+00 5.1911646513e-01 6.3783698502e-02 -6.4884212798e+00 411 7.3496187331e+00 6.0585040604e-01 1.2800639040e-02 -7.0819628640e+00 1.2000000000e-03
1.0000000000e+00 3 15 2.3307793282e+00 -1.3457484077e+00 6.8143411560e-01 7.1926068743e-03 -411 2.3998547523e+00 -1.3618420041e+00 6.3709216855e-01 5.7652512745e-02 1.2000000000e-03
1.0000000000e+00 4 -15 4.9108224777e+00 4.3976330286e+00 6.6950544248e-02 1.2709954625e+00 411 5.1022825035e+00 4.5610615898e+00 -2.1631006573e-02 1.3168360089e+00 1.2000000000e-03
1.0000000000e+00 5 15 8.6205721914e+02 2.4887668514e+00 -1.4717041468e+00 8.6205053919e+02 -411 9.5376598930e+02 2.7543094411e+00 -1.6446462449e+00 9.5375876183e+02 1.2000000000e-03
1.0000000000e+00 6 -15 2.5935708350e+02 -1.7409285052e+00 -1.8370696851e+00 2.5933864736e+02 411 2.6743272653e+02 -1.8202402802e+00 -1.9770013717e+00 2.6741268842e+02 1.2000000000e-03
1.0000000000e+00 7 -15 3.5433494827e+01 2.0123036414e+00 3.4253997070e+00 3.5165220563e+01 411 3.7501439257e+01 2.1259506585e+00 3.5310516404e+00 3.7227335058e+01 1.2000000000e-03
1.0000000000e+00 8 -15 1.5057330013e+01 -2.3105297174e+00 4.1057154776e+00 1.4190512699e+01 431 1.7068223712e+01 -2.7961788804e+00 4.5634669779e+00 1.6087431759e+01 5.3600000000e-02
1.0000000000e+00 9 -15 1.9547286634e+00 -5.3607952139e-02 2.1158498609e-01 7.8500497853e-01 411 2.0851835278e+00 -1.3292834647e-02 2.9836066105e-01 8.7367935575e-01 1.2000000000e-03
1.0000000000e+00 10 -15 2.7751809642e+00 3.8257627453e-01 -1.3999337052e+00 -1.5615252437e+00 411 3.0133067906e+00 4.8168738880e-01 -1.5507025236e+00 -1.7169268512e+00 1.2000000000e-03
1.0000000000e+00 11 15 4.5022324735e+00 -6.1888576834e-02 4.4118332749e-01 -4.1127284141e+00 -411 4.6277964500e+00 1.0651197164e-02 4.1818010584e-01 -4.2126040627e+00 1.2000000000e-03
1.0000000000e+00 12 -15 2.8064960444e+00 -1.5095085767e+00 1.3305172470e+00 8.1880305761e-01 411 3.0023446806e+00 -1.6014547452e+00 1.5027681731e+00 8.3404145803e-01 1.2000000000e-03
1.0000000000e+00 13 15 1.6500881132e+02 -4.9522489023e-01 -6.6341196499e-01 -1.6499716773e+02 -411 1.8069248244e+02 -5.5482216049e-01 -7.8549860341e-01 -1.8068025043e+02 1.2000000000e-03
1.0000000000e+00 14 15 9.7789241448e+01 1.6535783577e+00 -2.6233291138e+00 9.7723909442e+01 -431 1.0905504216e+02 1.9193275771e+00 -3.1128953847e+00 1.0897593006e+02 5.3600000000e-02
1.0000000000e+00 15 -15 3.5980354338e+02 -2.9948675331e-01 -1.0350512274e+00 3.5979754268e+02 431 3.8198452097e+02 -3.0249753335e-01 -1.2777912317e+00 3.8197719179e+02 5.3600000000e-02
1.0000000000e+00 16 -15 5.0702948725e+01 -4.0730812474e-01 9.6987107746e-01 5.0660886000e+01 411 5.3248858084e+01 -5.1718362205e-01 9.8640304341e-01 5.3204369543e+01 1.2000000000e-03
1.0000000000e+00 17 -15 2.0780948330e+00 -9.8639293520e-01 1.0098644466e-02 -4.3395370396e-01 431 2.3020710803e+00 -1.0117584836e+00 1.3391772046e-01 -6.1886120720e-01 5.3600000000e-02
1.0000000000e+00 18 15 3.6021256146e+00 2.1489694451e+00 -1.5296837270e+00 1.6912178010e+00 -411 3.9622730383e+00 2.3962574566e+00 -1.6982321298e+00 1.8915830726e+00 1.2000000000e-03
1.0000000000e+00 19 -15 2.9121047834e+00 8.5164839218e-01 2.1348350268e+00 -2.0109545384e-01 411 3.1894157836e+00 9.3641661571e-01 2.3977363497e+00 -2.2556244328e-01 1.2000000000e-03
1.0000000000e+00 20 15 9.6123968300e+00 -3.9256003257e-01 -2.1969469646e+00 9.1793466086e+00 -411 9.7599243210e+00 -3.3775598722e-01 -2.2529631426e+00 9.3043388685e+00 1.2000000000e-03
1.0000000000e+00 21 -15 1.1183527690e+02 -5.0002278124e-01 1.1545417067e+00 1.1181408265e+02 411 1.1637701019e+02 -5.8785399730e-01 1.1383740356e+00 1.1635493782e+02 1.2000000000e-03
1.0000000000e+00 22 15 7.5844706020e+00 1.5380189167e+00 1.0316465057e-01 -7.2104757032e+00 -411 8.0472797053e+00 1.6602133433e+00 1.9528483405e-02 -7.6489569226e+00 1.2000000000e-03
1.0000000000e+00 23 -15 6.1970394235e+01 6.6600031228e-01 -1.5997629289e+00 6.1920674047e+01 431 7.0200917579e+01 6.1688538630e-01 -1.6683954214e+00 7.0150764680e+01 5.3600000000e-02
1.0000000000e+00 24 -15 5.2090172193e+00 2.3929422207e+00 2.7101511176e+00 -3.3023748314e+00 411 5.6116049503e+00 2.5510825421e+00 2.9976686872e+00 -3.5356175527e+00 1.2000000000e-03
