# pythia: 8310
# beam_energy: 400.0
# ptcut: 10000
# seed: 1286
# mode: soft
# beam_mode: fixed
# total_xsec_mb: 39.8585500356  
# tau_xsec_mb: 0.0000694417   
# event_number particle_count pid E px py pz mother_pid E_mother px_mother py_mother pz_mother weights
1.0000000000e+00 1 -15 1.2182434101e+02 -6.7727324319e-01 1.3873075387e+00 1.2180159955e+02 411 1.2461864942e+02 -7.1403549647e-01 1.3439612884e+00 1.2459532987e+02 1.2000000000e-03
1.0000000000e+00 2 -15 9.9805432813e+01 -1.6442380361e+00 -1.5098873709e-01 9.9775954084e+01 411 1.0557969376e+02 -1.8240835819e+00 -1.1692740748e-01 1.0554731310e+02 1.2000000000e-03
1.0000000000e+00 3 -15 2.6112339072e+01 -6.1387222227e-01 -6.8480711251e-01 2.6035578784e+01 431 2.9479408949e+01 -6.3197762246e-01 -5.8264610943e-01 2.9401049759e+01 5.3600000000e-02
1.0000000000e+00 4 15 8.3327343965e+01 3.3217002219e-02 -7.6238559997e-01 8.3304902783e+01 -411 8.7027359654e+01 4.0553474481e-02 -7.0260945640e-01 8.7004428306e+01 1.2000000000e-03
1.0000000000e+00 5 -15 8.6217385057e+00 9.4953033705e-01 -3.4196505508e-01 8.3760812787e+00 411 9.0942738841e+00 1.0821340646e+00 -3.1042127540e-01 8.8285311934e+00 1.2000000000e-03
1.0000000000e+00 6 -15 7.1714702076e+01 1.3993279961e+00 3.6198623556e-01 7.1678115570e+01 431 8.0149003985e+01 1.6393028314e+00 5.9182462771e-01 8.0105869427e+01 5.3600000000e-02
1.0000000000e+00 7 -15 1.5004459944e+01 2.5501867527e-01 6.7614651520e-01 1.4881348066e+01 411 1.5582194397e+01 3.3741768134e-01 7.5725120377e-01 1.5447395354e+01 1.2000000000e-03
1.0000000000e+00 8 -15 2.2099152625e+01 9.2611251130e-01 8.1964318514e-01 2.1992861525e+01 411 2.2215789573e+01 9.5646026074e-01 7.9229542562e-01 2.2102110287e+01 1.2000000000e-03
1.0000000000e+00 9 15 2.1165689990e+01 9.7053585370e-01 1.3484895823e-01 2.1068203989e+01 -431 2.3151608281e+01 9.1511238235e-01 1.3032491339e-02 2.3049607645e+01 5.3600000000e-02
1.0000000000e+00 10 -15 6.5958736371e+01 5.1563552655e-01 -1.2721761494e-01 6.5932660723e+01 411 6.6236283744e+01 5.5306824811e-01 -1.3859019728e-01 6.6207436995e+01 1.2000000000e-03
1.0000000000e+00 11 -15 3.0613783646e+01 -8.5726337674e-01 1.2968002841e+00 3.0522615687e+01 411 3.2415967332e+01 -9.0775710281e-01 1.2784901463e+00 3.2323998811e+01 1.2000000000e-03
1.0000000000e+00 12 15 8.2303184305e+00 6.4461675312e-02 -1.1631250532e-01 8.0351333684e+00 -411 8.8279234836e+00 6.4166585286e-02 -3.6307238236e-02 8.6273587222e+00 1.2000000000e-03
1.0000000000e+00 13 15 5.2460187480e+01 5.6156408938e-01 -9.3914720528e-01 5.2418668711e+01 -431 5.3365474723e+01 4.9750666745e-01 -1.0326065204e+00 5.3316837401e+01 5.3600000000e-02
1.0000000000e+00 14 15 3.5064483101e+01 2.2810484396e-01 8.1268129655e-01 3.5009261676e+01 -411 3.8622729364e+01 2.5100672558e-01 9.3777812451e-01 3.8565234505e+01 1.2000000000e-03
