# pythia: 8311
# beam_energy: 120.0
# ptcut: 1000
# seed: 14
# mode: soft
# beam_mode: fixed
# total_xsec_mb: 38.4539067463  
# tau_xsec_mb: 0.0000124961   
# event_number particle_count pid E px py pz mother_pid E_mother px_mother py_mother pz_mother weights
1.0000000000e+00 1 -15 2.4879385097e+01 -2.4268291715e-01 -1.6897246847e-01 2.4814094116e+01 411 2.6392816841e+01 -1.6378994600e-01 -1.6798003368e-01 2.6325467848e+01 1.2000000000e-03
1.0000000000e+00 2 15 1.4579289795e+01 -9.6700885161e-01 1.4884960024e-01 1.4437497681e+01 -411 1.4787062892e+01 -9.6258805541e-01 2.1249877255e-01 1.4635232097e+01 1.2000000000e-03
1.0000000000e+00 3 15 3.6726006092e+01 -8.9901094454e-01 -5.6002891640e-01 3.6667704879e+01 -411 3.9849959550e+01 -9.7330314481e-01 -5.3071903719e-01 3.9790637284e+01 1.2000000000e-03
1.0000000000e+00 4 -15 2.2507131636e+01 -9.4633032158e-02 7.2643794268e-01 2.2424924028e+01 411 2.4038101564e+01 -1.1502900620e-02 7.9546562264e-01 2.3952076110e+01 1.2000000000e-03
1.0000000000e+00 5 15 2.0329083169e+01 -1.3413355688e-01 6.0176320472e-01 2.0241897698e+01 -411 2.0696464628e+01 -1.6677289207e-01 5.4816614622e-01 2.0603879970e+01 1.2000000000e-03
1.0000000000e+00 6 15 1.3411944795e+01 3.7741842182e-01 -5.5084188914e-02 1.3288254022e+01 -411 1.4836281352e+01 4.1134289517e-01 -4.9510268744e-02 1.4712175610e+01 1.2000000000e-03
1.0000000000e+00 7 15 9.8074707077e+00 -1.2761467461e+00 4.6736299288e-01 9.5489483026e+00 -431 1.0619718166e+01 -1.4975990555e+00 3.5092358623e-01 1.0321700963e+01 5.3600000000e-02
1.0000000000e+00 8 -15 1.1065614858e+01 2.5671977583e-01 1.1048390771e+00 1.0862972357e+01 411 1.1542800889e+01 1.7819989343e-01 1.1261779619e+00 1.1333169963e+01 1.2000000000e-03
1.0000000000e+00 9 15 1.1155312226e+01 1.0148468553e+00 -1.2710377976e+00 1.0892127906e+01 -411 1.1539423278e+01 1.1327923059e+00 -1.3421512702e+00 1.1250698743e+01 1.2000000000e-03
1.0000000000e+00 10 15 1.4251725366e+01 -6.2479814116e-01 4.9484603011e-01 1.4118050194e+01 -431 1.4298061288e+01 -6.5584154530e-01 5.2354114785e-01 1.4137021618e+01 5.3600000000e-02
1.0000000000e+00 11 -15 8.6577067443e+00 -7.4956272872e-02 8.9480949224e-01 8.4257043794e+00 411 9.0635846959e+00 -1.3618285568e-01 1.0107587427e+00 8.8098189306e+00 1.2000000000e-03
1.0000000000e+00 12 15 6.7912571789e+00 5.0785179661e-01 4.9247703373e-02 6.5348103242e+00 -411 7.2907710498e+00 5.5884827741e-01 -3.3952774287e-02 7.0246992369e+00 1.2000000000e-03
1.0000000000e+00 13 15 1.1836423987e+01 1.0058295810e+00 -9.9265624763e-01 1.1616659757e+01 -411 1.2567004461e+01 9.7460117621e-01 -1.0616054615e+00 1.2343308656e+01 1.2000000000e-03
1.0000000000e+00 14 15 1.7692864597e+01 -1.0537539439e+00 2.1834469525e-01 1.7570495057e+01 -411 1.7840742778e+01 -1.0466047179e+00 2.6805302091e-01 1.7709584694e+01 1.2000000000e-03
1.0000000000e+00 15 15 2.7826008574e+01 -1.0589616106e+00 2.7751199675e+00 2.7609907159e+01 -411 2.9428458523e+01 -1.0251361959e+00 2.9387477899e+00 2.9203622195e+01 1.2000000000e-03
