# pythia: 8311
# beam_energy: 400.0
# ptcut: 1000
# seed: 18
# mode: soft
# beam_mode: fixed
# total_xsec_mb: 39.8585384654  
# tau_xsec_mb: 0.0000698305   
# event_number particle_count pid E px py pz mother_pid E_mother px_mother py_mother pz_mother weights
1.0000000000e+00 1 15 1.4530422355e+01 -5.0607045578e-01 -1.8847228259e-02 1.4412481465e+01 -411 1.5916606310e+01 -5.3849669993e-01 3.5944707794e-02 1.5797202498e+01 1.2000000000e-03
1.0000000000e+00 2 15 6.4389707043e+01 -1.8220869195e+00 9.2045561047e-01 6.4332806907e+01 -411 6.8720974029e+01 -1.8669200490e+00 1.0316680352e+00 6.8662413758e+01 1.2000000000e-03
1.0000000000e+00 3 -15 3.6178279043e+01 9.6551117653e-01 2.1614809280e-02 3.6121712392e+01 431 4.1071862395e+01 1.2932752485e+00 4.5798844293e-02 4.1004246967e+01 5.3600000000e-02
1.0000000000e+00 4 -15 3.2447350053e+01 -9.3406874443e-01 -1.7985421832e-01 3.2384697068e+01 411 3.3543393483e+01 -8.9695375324e-01 -1.3013629170e-01 3.3478983048e+01 1.2000000000e-03
1.0000000000e+00 5 15 3.3659354463e+01 -2.8707079240e-01 -8.0459509422e-01 3.3601566491e+01 -411 3.6262742447e+01 -2.2449330800e-01 -8.7636427934e-01 3.6203212554e+01 1.2000000000e-03
1.0000000000e+00 6 15 4.5162286279e+01 5.5227893428e-01 -1.3905755532e+00 4.5102508802e+01 -411 4.6945500562e+01 5.0176629774e-01 -1.3888566943e+00 4.6885006683e+01 1.2000000000e-03
1.0000000000e+00 7 -15 3.7429515158e+01 -3.8348492737e-01 -2.9124165996e-01 3.7384216366e+01 411 3.8046222552e+01 -3.5802367165e-01 -3.5684886429e-01 3.7996895261e+01 1.2000000000e-03
1.0000000000e+00 8 15 5.5516564443e+01 -6.9304376224e-01 8.3853262540e-01 5.5477458410e+01 -431 6.6480136538e+01 -7.0382424678e-01 1.0562138918e+00 6.6438863965e+01 5.3600000000e-02
1.0000000000e+00 9 -15 6.9259307980e+01 -1.1352923748e+00 -2.1984618824e-01 6.9226854843e+01 411 6.9301250310e+01 -1.1328198713e+00 -2.0625370404e-01 6.9266456486e+01 1.2000000000e-03
1.0000000000e+00 10 15 1.6062137345e+01 1.4708359026e+00 -6.2996578147e-02 1.5895528929e+01 -411 1.6574141656e+01 1.4318811742e+00 -7.9057276032e-02 1.6405796504e+01 1.2000000000e-03
1.0000000000e+00 11 -15 6.2867912749e+01 -1.1916862396e+00 1.0776164694e+00 6.2822257128e+01 411 6.5715738628e+01 -1.1973785449e+00 1.2071631947e+00 6.5667129266e+01 1.2000000000e-03
1.0000000000e+00 12 15 7.8497106338e+00 2.4933396255e-01 6.2389653571e-02 7.6416495489e+00 -411 8.6033576115e+00 2.4322981842e-01 2.2248777983e-02 8.3942020165e+00 1.2000000000e-03
1.0000000000e+00 13 15 2.4388098648e+01 -8.6311158207e-02 8.3351926475e-01 2.4308847409e+01 -411 2.5800425891e+01 -9.3302001447e-02 9.7664322043e-01 2.5713886520e+01 1.2000000000e-03
1.0000000000e+00 14 -15 2.1792257190e+01 -8.7548698117e-02 -7.5261774074e-02 2.1719393523e+01 411 2.3297259250e+01 -1.5568016731e-01 -1.4720003248e-01 2.3221130581e+01 1.2000000000e-03
1.0000000000e+00 15 15 7.9870969806e+01 7.8236136636e-02 -7.7243868805e-01 7.9847429176e+01 -411 8.7421759488e+01 1.1381561082e-01 -9.0004455114e-01 8.7397056694e+01 1.2000000000e-03
1.0000000000e+00 16 -15 1.3330934693e+01 -9.1282669282e-02 2.2082173547e-01 1.3209831025e+01 411 1.3591839593e+01 -1.5951452144e-01 2.5540490730e-01 1.3459269967e+01 1.2000000000e-03
1.0000000000e+00 17 15 3.6127261966e+01 -1.2877654837e+00 -1.6085562605e+00 3.6024660646e+01 -411 3.7222744865e+01 -1.2793317716e+00 -1.7286839009e+00 3.7113504530e+01 1.2000000000e-03
1.0000000000e+00 18 -15 1.8512402224e+01 3.4787970934e-01 -1.4669700807e-01 1.8423067239e+01 411 2.0201059974e+01 4.3133117004e-01 -1.1661138283e-01 2.0109393336e+01 1.2000000000e-03
1.0000000000e+00 19 15 2.3379333847e+01 7.6642497583e-01 -5.0173047737e-01 2.3293712051e+01 -411 2.4020721038e+01 7.7795122172e-01 -5.9790816836e-01 2.3927742433e+01 1.2000000000e-03
1.0000000000e+00 20 -15 1.1101877018e+01 -8.9204349888e-01 1.1512877768e+00 1.0861555085e+01 431 1.2987500613e+01 -1.1749283038e+00 1.4632174366e+00 1.2699557374e+01 5.3600000000e-02
1.0000000000e+00 21 15 1.2713557719e+02 -3.7770116060e-01 -4.5667300831e-01 1.2712177898e+02 -411 1.2978352505e+02 -3.1259817707e-01 -4.8498217163e-01 1.2976877502e+02 1.2000000000e-03
1.0000000000e+00 22 15 7.1711065550e+01 -9.4146072793e-02 -3.4720500550e-01 7.1688146986e+01 -411 7.9073944429e+01 -8.7047202915e-02 -4.1715739437e-01 7.9050690137e+01 1.2000000000e-03
1.0000000000e+00 23 15 2.0047591307e+01 -1.4363872857e-02 5.4178127214e-01 1.9961340001e+01 100443 3.5436967685e+01 2.8568213707e-02 2.0881119944e-01 3.5244111469e+01 3.1000000000e-03
1.0000000000e+00 24 -15 1.5389376378e+01 4.2932086564e-02 -3.3297007269e-01 1.5282771468e+01 100443 3.5436967685e+01 2.8568213707e-02 2.0881119944e-01 3.5244111469e+01 3.1000000000e-03
1.0000000000e+00 25 15 1.0989552346e+02 -1.3085218777e+00 3.0860169246e-01 1.0987293353e+02 -411 1.1815496242e+02 -1.4937342398e+00 3.3908306523e-01 1.1813023934e+02 1.2000000000e-03
1.0000000000e+00 26 15 4.7922819349e+01 -2.3458130873e-01 4.7058785654e-01 4.7886981986e+01 -411 5.2323530673e+01 -2.4856853956e-01 5.8006528738e-01 5.2286309117e+01 1.2000000000e-03
1.0000000000e+00 27 15 8.5181782230e+00 1.5742012941e-01 2.0782760186e-01 8.3267218950e+00 -411 9.0486216293e+00 1.0951104802e-01 1.4687625944e-01 8.8514693210e+00 1.2000000000e-03
1.0000000000e+00 28 15 1.1009893348e+01 1.6040099136e-01 -7.3472605359e-01 1.0839516197e+01 -411 1.1411617304e+01 1.3561993504e-01 -6.7665848302e-01 1.1236248088e+01 1.2000000000e-03
1.0000000000e+00 29 -15 2.7941613667e+01 2.3846143101e-01 -6.5455689850e-01 2.7876358737e+01 431 2.9409420924e+01 1.2706412267e-01 -8.0541919110e-01 2.9332136656e+01 5.3600000000e-02
1.0000000000e+00 30 -15 5.4037396663e+01 3.4980459744e-01 -6.7776714477e-01 5.4002790829e+01 411 5.4750683909e+01 3.3400190016e-01 -6.2757450588e-01 5.4714134395e+01 1.2000000000e-03
1.0000000000e+00 31 -15 3.6537024253e+01 3.9823138100e-02 4.5588419124e-01 3.6490925388e+01 431 3.9726003921e+01 1.4974982680e-01 6.6076038049e-01 3.9671417990e+01 5.3600000000e-02
