# pythia: 8311
# beam_energy: 400.0
# ptcut: 1000
# seed: 15
# mode: soft
# beam_mode: fixed
# total_xsec_mb: 39.8584888033  
# tau_xsec_mb: 0.0000720952   
# event_number particle_count pid E px py pz mother_pid E_mother px_mother py_mother pz_mother weights
1.0000000000e+00 1 -15 1.0865435193e+01 -4.5383978074e-01 -2.4868004162e-01 1.0706669898e+01 411 1.1220714667e+01 -3.9066553518e-01 -2.9667098415e-01 1.1052978126e+01 1.2000000000e-03
1.0000000000e+00 2 15 1.7641565349e+01 2.4074365100e-01 -5.1683330553e-01 1.7542595716e+01 -431 2.1224221951e+01 1.7568019109e-01 -5.7454443340e-01 2.1124196546e+01 5.3600000000e-02
1.0000000000e+00 3 -15 6.4952678679e+01 1.5927569907e+00 -2.5540878564e-01 6.4908329741e+01 431 6.9125051142e+01 1.5215406064e+00 -3.2631809662e-01 6.9079491697e+01 5.3600000000e-02
1.0000000000e+00 4 15 3.9775448492e+01 1.6165019390e+00 4.9468309742e-02 3.9702817126e+01 -411 4.2695972862e+01 1.6558309794e+00 9.1887952211e-02 4.2622768564e+01 1.2000000000e-03
1.0000000000e+00 5 -15 2.2207520660e+01 2.7112495041e-01 -3.4448272630e-02 2.2134637768e+01 411 2.3890872189e+01 2.1322128627e-01 -4.8678021280e-04 2.3816650298e+01 1.2000000000e-03
1.0000000000e+00 6 15 1.2209594324e+02 -2.8826336542e-01 1.9254792655e+00 1.2206748830e+02 -411 1.2674276184e+02 -2.2349845903e-01 2.0494437051e+00 1.2671220157e+02 1.2000000000e-03
1.0000000000e+00 7 -15 3.0621481994e+01 3.2073923088e-01 -2.4757355931e-01 3.0567203075e+01 411 3.3247106457e+01 3.8703323959e-01 -2.0332616677e-01 3.3191617504e+01 1.2000000000e-03
1.0000000000e+00 8 -15 7.1596499510e+00 4.4885552663e-01 4.1994596497e-01 6.9083769593e+00 411 7.4075957980e+00 5.4003372401e-01 4.7861987082e-01 7.1313591382e+00 1.2000000000e-03
1.0000000000e+00 9 15 2.9585743772e+01 -8.8824379636e-01 -4.0522694148e-01 2.9516198253e+01 -411 3.2107415356e+01 -9.9085244554e-01 -3.6785951711e-01 3.2035504253e+01 1.2000000000e-03
1.0000000000e+00 10 -15 8.2438369116e+01 1.2480629102e+00 4.5205288396e-01 8.2408528687e+01 411 8.7360992682e+01 1.4096187791e+00 4.4197706178e-01 8.7328490166e+01 1.2000000000e-03
